address,flat_type,avg resale price,lon,lat
104A ANG MO KIO ST 11 SINGAPORE,EXECUTIVE,815000,103.8390261,1.3717844
104A DEPOT RD SINGAPORE,4 ROOM,555000,103.8124403,1.2804498
104A DEPOT RD SINGAPORE,5 ROOM,648377.6,103.8124403,1.2804498
104A EDGEFIELD PLAINS SINGAPORE,4 ROOM,350000,103.905393,1.396871
104A EDGEFIELD PLAINS SINGAPORE,5 ROOM,411888.8,103.905393,1.396871
104B ANG MO KIO ST 11 SINGAPORE,5 ROOM,645269.7142857143,103.8383977,1.371487
104B DEPOT RD SINGAPORE,4 ROOM,582400.2,103.8120779,1.280525
104B DEPOT RD SINGAPORE,5 ROOM,661000,103.8120779,1.280525
104B EDGEFIELD PLAINS SINGAPORE,4 ROOM,347500,103.905416,1.396493
104B EDGEFIELD PLAINS SINGAPORE,5 ROOM,416000,103.905416,1.396493
105 ALJUNIED CRES SINGAPORE,4 ROOM,501444,103.8827712,1.3195167
105 ALJUNIED CRES SINGAPORE,5 ROOM,592666.6666666666,103.8827712,1.3195167
105 ANG MO KIO AVE 4 SINGAPORE,4 ROOM,369916.6666666667,103.8377028,1.3723838
105 BEDOK NTH AVE 4 SINGAPORE,3 ROOM,267300,103.936605,1.3336952
105 BEDOK NTH AVE 4 SINGAPORE,4 ROOM,348888,103.936605,1.3336952
105 BEDOK RESERVOIR RD SINGAPORE,3 ROOM,274545.45454545453,103.909188,1.3291336
105 BEDOK RESERVOIR RD SINGAPORE,4 ROOM,389484,103.909188,1.3291336
105 BISHAN ST 12 SINGAPORE,3 ROOM,383400,103.8473951,1.3458125
105 BISHAN ST 12 SINGAPORE,4 ROOM,596000,103.8473951,1.3458125
105 BT BATOK CTRL SINGAPORE,4 ROOM,405363.63636363635,103.7471578,1.3485949
105 BT PURMEI RD SINGAPORE,3 ROOM,370500,103.8248421,1.2725678
105 BT PURMEI RD SINGAPORE,4 ROOM,520000,103.8248421,1.2725678
105 CLEMENTI ST 12 SINGAPORE,3 ROOM,345625,103.7698766,1.322682
105 GANGSA RD SINGAPORE,3 ROOM,285625,103.7677264,1.3782744
