"","X","Address","Room","Model","Year","Area","Price","Type","lon","lat","address"
"2002",2002,"  Blk 102 Commonwealth Crescent Singapore","3-Room","Standard"," Built-1970","63 sqm / $516 psf(Built)","$350,000","Resale",103.8006613,1.3078718,"102 commonwealth cres, block 102, singapore 140102"
"2003",2003,"  Blk 114 Bishan Street 12 Singapore","4-Room","Simplified"," Built-1986","84 sqm / $639 psf(Built)","$578,000","Resale",103.8484821,1.3476367,"114 bishan street 12, block 114, singapore 570114"
"2004",2004,"  Blk 747B Belvia Singapore","4-Room","Improved"," Built-2019","86 sqm / $750 psf(Built)","$695,000","Resale",103.9213614,1.3365339,"747a bedok reservoir cres, singapore 471747"
"2005",2005,"  Blk 223A Compassvale Walk Singapore","4-Room","Built-1999",NA,"102 sqm / $391 psf(Built)","$430,000","Resale",103.8971721,1.3882399,"223a compassvale walk, singapore 541223"
"2006",2006,"  Blk 138A Lake Vista @ Yuan Ching Singapore","4-Room","Model A"," Built-2014","91 sqm / $643 psf(Built)","$630,000","Resale",103.7243,1.328432,"yuan ching rd, 138b, singapore"
"2007",2007,"  Blk 313 Shunfu Road Singapore","4-Room","New Generation"," Built-1985","95 sqm / $503 psf(Built)","$515,000","Resale",103.8380265,1.3513189,"313 shunfu rd, singapore 570313"
"2008",2008,"  Blk 325 Jurong East Street 31 Singapore","HDB Executive","Maisonette"," Built-1985","149 sqm / $428 psf(Built)","$688,000","Resale",103.7290555,1.3488455,"325 jurong east street 31, block 325, singapore 600325"
"2009",2009,"  Blk 87 Dawson Road Singapore","4-Room","Model A"," Built-2016","83 sqm / $873 psf(Built)","$780,000","Resale",103.8099048,1.2960052,"87 dawson rd, singapore 141087"
"2010",2010,"  Blk 530D Pasir Ris One Singapore","4-Room","Model A"," Built-2015","86 sqm / $701 psf(Built)","$650,000","Resale",103.950496,1.3719019,"530d pasir ris dr 1, singapore 514530"
"2011",2011,"  Blk 807B Choa Chu Kang Avenue 1 Singapore","5-Room","Improved"," Built-2015","112 sqm / $480 psf(Built)","$580,000","Resale",103.7453597,1.3763981,"807b choa chu kang ave 1, singapore 682807"
"2012",2012,"  Blk 748C Belvia Singapore","4-Room","Model A"," Built-2014","87 sqm / $801 psf(Built)","$750,000","Resale",103.9213614,1.3365339,"747a bedok reservoir cres, singapore 471747"
"2013",2013,"  Blk 520A Centrale 8 At Tampines Singapore","3-Room","Model A"," Built-2014","62 sqm / $749 psf(Built)","$500,000","Resale",103.9400264,1.3569026,"520a tampines central 8, singapore 521520"
"2014",2014,"  Blk 430B Fernvale Link Singapore","3-Room","Model A"," Built-2015","67 sqm / $511 psf(Built)","$369,000","Resale",103.8787318,1.3939628,"430b fernvale link, singapore 794430"
"2015",2015,"  Blk 79D Toa Payoh Central Singapore","4-Room","Standard"," Built-2009","92 sqm / $767 psf(Built)","$760,000","Resale",103.8490983,1.3347942,"79d toa payoh central, singapore 314079"
